product_id,sku,product_name,category,vendor_id,cost,retail_price,weight_lb,active
P00001,CLI-Z49C9R,Pine Climbing Gear Pro Harness,Climbing Gear,V0012,324.25,448.19,18.08,Yes
P00002,TEN-PFHR3C,River Tents 2-Person Backpacking,Tents,V0017,62.58,89.89,2.75,Yes
P00003,TRA-NIRK1A,Summit Trail Safety First Aid Kit,Trail Safety,V0005,177.37,232.09,11.22,No
P00004,TRA-W4W1QE,Canyon Trail Safety Personal Locator,Trail Safety,V0010,55.28,76.59,7.7,No
P00005,OUT-EX3OVC,Trail Outerwear Insulated Parka,Outerwear,V0024,73.54,132.26,2.71,Yes
P00006,CAM-KKOD49,Canyon Camp Kitchen Single-Burner Propane,Camp Kitchen,V0014,229.16,398.0,2.51,Yes
P00007,LIG-YNIMGD,Canyon Lighting Standard,Lighting,V0029,244.06,409.55,13.76,Yes
P00008,BAC-LZLETN,Canyon Backpacks Ultra,Backpacks,V0011,160.24,275.55,9.47,Yes
P00009,TRA-21P3I5,Trail Trail Safety Signal Mirror & Whistle,Trail Safety,V0030,59.33,79.4,13.12,Yes
P00010,HYD-S3H4LZ,Ridge Hydration Gravity Filter Kit,Hydration,V0020,42.97,59.15,11.19,Yes
P00011,HIK-TAIVC0,Summit Hiking Footwear Standard,Hiking Footwear,V0004,91.77,143.74,7.01,No
P00012,CLI-ZWPN9M,Trail Climbing Gear Pro Harness,Climbing Gear,V0028,351.65,593.99,8.69,Yes
P00013,TEN-MLOB0W,Summit Tents Freestanding Dome,Tents,V0021,245.49,398.48,17.16,Yes
P00014,CAM-APUN4Z,Ridge Camp Kitchen Collapsible Cup Set,Camp Kitchen,V0027,89.75,131.81,18.4,Yes
P00015,CLI-8MSD1G,Trail Climbing Gear Pro Harness,Climbing Gear,V0027,278.22,389.15,17.81,Yes
P00016,CAM-Z58682,Trail Camp Kitchen 3-Piece Pot Set,Camp Kitchen,V0005,273.68,419.52,14.5,Yes
P00017,LIG-XQIHG1,Summit Lighting Standard,Lighting,V0011,245.85,422.6,15.76,No
P00018,TRA-Q0GEEN,Ridge Trail Safety Signal Mirror & Whistle,Trail Safety,V0010,149.77,206.42,17.97,Yes
P00019,HYD-FRN2QX,Pine Hydration Insulated Carrier,Hydration,V0021,309.76,469.92,17.57,Yes
P00020,TEN-YUNC87,Camp Tents 2-Person Backpacking,Tents,V0029,268.34,439.84,8.76,Yes
P00021,CLI-7SZSG5,Canyon Climbing Gear Pro Harness,Climbing Gear,V0006,286.76,441.58,6.81,Yes
P00022,BAC-YTRWSQ,Trail Backpacks Standard,Backpacks,V0007,125.07,156.69,10.05,Yes
P00023,CLI-7PKWTF,Trail Climbing Gear Auto-Belay System,Climbing Gear,V0014,81.92,124.02,5.76,Yes
P00024,NAV-3C4OP5,Camp Navigation Lite,Navigation,V0029,250.67,387.57,1.34,Yes
P00025,NAV-VQO49C,Pine Navigation Pro,Navigation,V0027,311.45,564.8,10.92,Yes
P00026,TEN-ZQRXOG,Canyon Tents All-Weather 3-Season,Tents,V0010,396.04,650.23,7.07,Yes
P00027,BAC-BHQWRK,Canyon Backpacks Series 2,Backpacks,V0019,316.86,569.62,18.07,Yes
P00028,TRA-9X7UN6,Pine Trail Safety Emergency Bivvy,Trail Safety,V0022,125.61,182.42,3.39,No
P00029,BAC-945WZO,River Backpacks Ultra,Backpacks,V0011,184.09,274.26,13.35,Yes
P00030,HYD-GB1NPW,Summit Hydration Filtration Bottle 1L,Hydration,V0021,374.94,508.26,2.19,Yes
P00031,CLI-AED4MY,River Climbing Gear Auto-Belay System,Climbing Gear,V0015,352.93,587.52,9.72,Yes
P00032,OUT-SDCTX4,River Outerwear Fleece Mid-Layer,Outerwear,V0009,104.42,158.94,1.69,Yes
P00033,HIK-4S3KJA,Summit Hiking Footwear Ultra,Hiking Footwear,V0029,182.46,333.15,13.02,No
P00034,CAM-T66819,Canyon Camp Kitchen 3-Piece Pot Set,Camp Kitchen,V0026,182.55,303.99,11.57,No
